OBJECTID_1,INSTALLATION_YEAR,LOCATION_X,LOCATION_Y,LAT,LONG
1,2016,367155.4892,5028942.3531,45.3976428792558,-75.7035491088225
2,2017,367860.5831,5032286.6619,45.4276707575931,-75.6941161388286
3,2016,368383.9004,5030742.2898,45.4137276535141,-75.6876283819747
4,2016,383168.4641,5036507.3222,45.4640970388793,-75.4978437138109
5,2016,382121.4812,5038764.2146,45.4845192716553,-75.5108750563305
6,2016,382132.6116,5038939.401,45.4860942108706,-75.5107051026449
7,2016,382289.8384,5033944.2385,45.4411345744822,-75.5094814570639
8,2017,380095.5208,5035001.2645,45.4508846739192,-75.5373646568634
9,2016,364887.4462,5016798.6426,45.2885735930014,-75.733990634495
10,2016,364305.2395,5015646.3629,45.2782549291749,-75.7415502632757
11,2016,364752.4711,5011929.1618,45.2447695172107,-75.7362989601353
12,2016,362513.0402,5015141.1829,45.2738586983701,-75.7644503240808
13,2016,349587.6962,5020575.9825,45.3237047616632,-75.9286828336625
14,2016,349680.5211,5020192.9057,45.3202518055979,-75.9275335240978
15,2016,351264.4888,5020444.4074,45.3224118285453,-75.9073069431441
16,2017,350178.0591,5019658.9104,45.3154147916764,-75.9212364988728
17,2017,349295.6139,5018231.3748,45.3026258804507,-75.9326190477087
18,2016,350851.5923,5014062.4254,45.2650121235359,-75.9131660840523
19,2016,348642.8456,5013722.7424,45.2620966698156,-75.941340672972
20,2016,350500.3537,5016458.4708,45.2865954249931,-75.9174210979955
21,2016,352651.6223,5014440.3399,45.2682925551232,-75.8901932312318
22,2017,349866.954,5012357.823,45.249737263766,-75.9258672554935
23,2016,358662.4751,5023201.9993,45.3466961234056,-75.8126457329452
24,2017,362053.6843,5026414.5319,45.3753336224675,-75.7690008293883
25,2016,365783.3519,5023071.9225,45.3449427370799,-75.7217981822688
26,2017,361085.0941,5020964.6949,45.3263746660562,-75.7819868663696
27,2016,372856.594,5023632.3521,45.3493346820771,-75.6314700857025
28,2016,375111.2412,5031530.3578,45.420174665624,-75.6015750439199
29,2017,374246.7233,5033865.5841,45.4412721275119,-75.6122910252149
30,2017,374263.3936,5032849.7709,45.4321307397248,-75.6122213013127
31,2016,369803.7066,5033722.5944,45.4404128032861,-75.6690969563185
32,2016,361474.6708,5015252.4319,45.2749441833008,-75.7776705222597
33,2017,349053.6086,5018056.4637,45.3010672633896,-75.9357204145619
34,2016,380418.7449,5035605.5759,45.4562869018289,-75.5331399927973
35,2016,382271.1554,5033017.5869,45.4327993856446,-75.5098660707688
36,2016,364771.2346,5012861.1699,45.2531541565515,-75.7359475323368
37,2016,352129.9011,5020667.2449,45.3243591527161,-75.8962472039102
38,2016,341007.5441,5023028.5181,45.3462686857226,-76.0379488381404
39,2016,352491.9517,5014662.7137,45.2703043853643,-75.892206554404
40,2016,365901.3094,5023757.3562,45.3510998953124,-75.7202083966934
41,2016,381881.3545,5038803.6161,45.4849003281691,-75.5139402019289
42,2016,363324.198,5014774.2599,45.270490069706,-75.7541562818008
43,2016,352215.9758,5015103.0728,45.2742855275425,-75.8956813834363
44,2016,373504.0416,5025452.3259,45.3656469616987,-75.6229554542004
45,2016,349355.2832,5022619.1129,45.3421041623153,-75.9314634510353
46,2017,367879.4342,5032788.7752,45.4321868993737,-75.6938109364044
47,2016,369769.5566,5031272.6615,45.4183724604518,-75.6698566480806
48,2016,367860.8046,5033364.0319,45.4373645359534,-75.6939753242285
49,2017,368559.7046,5032916.5892,45.4332752310022,-75.6851010437764
50,2017,368770.7067,5032290.5836,45.427623395487,-75.6824858710903
51,2016,371413.1212,5034131.2671,45.4439383560635,-75.6484717247677
52,2017,368541.6011,5033566.3203,45.439122918066,-75.685248268226
53,2016,366360.7004,5030006.5642,45.4072887062468,-75.7135669302466
54,2016,367248.6381,5030647.1929,45.4129742336211,-75.702143538108
55,2016,365163.696,5030242.5679,45.409516468404,-75.7288282627775
56,2016,365874.4826,5028611.1625,45.3947758174505,-75.719950544059
57,2017,363173.6895,5028911.5552,45.3977090586472,-75.7544067953377
58,2016,368703.9707,5026298.9409,45.3737186270478,-75.6841149780668
59,2016,370224.7239,5024078.513,45.3535995638255,-75.6649949999554
60,2016,369015.7151,5027429.5411,45.3838629342963,-75.6799881956426
61,2016,368694.0791,5028461.5043,45.3931776379163,-75.68396134675
62,2016,368585.6969,5028853.3067,45.3967128351109,-75.6852947784538
63,2017,368972.6324,5026880.1194,45.3789233502647,-75.6806097056324
64,2017,369034.6595,5031064.1755,45.4165644339009,-75.6792729401602
65,2017,369220.552,5030200.1602,45.4087732423165,-75.677010962435
66,2016,369465.263,5031501.2225,45.420457156793,-75.6737143306673
67,2016,371537.7256,5027879.543,45.3876761449803,-75.647725690186
68,2017,372655.9894,5029768.1534,45.4045616010532,-75.6331867502136
69,2016,385757.0045,5037502.84,45.4727585367984,-75.4645834699323
70,2016,385751.3498,5035489.42,45.4546444093163,-75.4649873427574
71,2017,386072.5037,5037272.5971,45.470650396703,-75.4605870760189
72,2016,385575.7918,5010855.0174,45.2330234956232,-75.4712541390404
73,2016,368846.7032,5009805.3942,45.2252993550486,-75.6844233676005
74,2016,352117.6008,5013181.4155,45.25700049254,-75.8971181733009
75,2016,366909.278,5015100.8179,45.2731209346377,-75.7084307329304
76,2016,366852.6638,5015298.7651,45.2749070486316,-75.709127459318
77,2016,355807.3465,5017070.2275,45.2917350279279,-75.8497098711122
78,2016,354334.5149,5015728.2243,45.279764740436,-75.8686197419494
79,2016,355105.6321,5016984.4471,45.2910137419147,-75.8586641258689
