Intersection,All_Motorized_Vehicles_AADT_24_,Truck_Percent,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date,X,Y,Lat,Long,ObjectId
BRONSON AVE @ SUNNYSIDE AVE/UNIVERSITY RD - CA,47366,0,1278,212,2022/09/28 00:00:00+00,367922.7101,5028091.547,45.389919,-75.693859,44
BRONSON AVE @ CARLING AVE/GLEBE AVE,44718,0,1433,185,2022/09/28 00:00:00+00,367447.707,5029335.562,45.401155,-75.699767,45
CARLING AVE @ MAITLAND AVE/SHERBOURNE RD,36589,0.0276,881,72,2022/10/06 00:00:00+00,362942.6979,5026488.527,45.375926,-75.757642,46
NELSON ST @ SOMERSET ST,2383,0,2324,618,2022/09/29 00:00:00+00,369094.7066,5031761.576,45.422834,-75.678415,47
DENBURY AVE @ PRINCETON AVE,1218,0.0224,666,146,2022/09/14 00:00:00+00,362705.6907,5027366.542,45.383846,-75.760565,48
CROSSFIELD AVE @ DENBURY AVE,757,0.024,199,96,2022/09/14 00:00:00+00,362679.692,5027431.548,45.384433,-75.76089,49
MANSFIELD AVE @ TILLBURY AVE,581,0.0157,63,75,2022/09/14 00:00:00+00,362761.6885,5026805.538,45.378794,-75.759916,50
BLACKCREEK RD @ PARKWAY RD,751,0.063,0,0,2022/09/22 00:00:00+00,388148.8267,5019917.453,45.314261,-75.436969,51
KANATA AVE @ GOLDRIDGE DR/EVANSHEN PL,10876,0.0145,193,125,2022/07/13 00:00:00+00,350286.5926,5019728.825,45.316037,-75.919846,52
STANLEY AVE @ SUSSEX DR,13205,0.0148,208,204,2022/07/05 00:00:00+00,367832.0959,5033871.926,45.441937,-75.694277,53
NAVAN RD W @ MER BLEUE RD,6555,0.049,2,4,2022/07/05 00:00:00+00,384006.7766,5032255.544,45.425749,-75.48781,54
MONK ST @ WOODLAWN AVE,1365,0.018,352,83,2022/10/12 00:00:00+00,368459.982,5029087.328,45.39883,-75.68687,55
BANK ST @ DUN SKIPPER DR,14647,0.0941,4,9,2022/10/06 00:00:00+00,376333.15,5019313.32,45.310128,-75.587732,56
HOWIE RD @ OLD ALMONTE RD,1098,0.0821,2,2,2022/10/12 00:00:00+00,339986.4959,5013980.47,45.264902,-76.051621,57
DEFENCE ST @ HALIBURTON HGTS,1164,0.0493,132,15,2022/10/12 00:00:00+00,353172.2706,5014576.712,45.269484,-75.883545,58
KIRKWOOD AVE @ LAPERRIERE AVE,14789,0.0398,222,85,2022/10/06 00:00:00+00,364519.694,5026958.543,45.380023,-75.737452,59
BANK ST @ DALMENY RD/MARVELVILLE RD,7363,0.0841,0,2,2022/10/18 00:00:00+00,385828.7808,5004368.352,45.174631,-75.469087,60
ABBOTT ST @ GRANITE RIDGE DR,6090,0.0366,102,93,2022/08/24 00:00:00+00,351483.7536,5014434.733,45.268321,-75.905076,61
LIVERY ST @ TAPADERO AVE,1788,0.033,54,13,2022/10/19 00:00:00+00,352877.7581,5015387.096,45.276796,-75.88722,62
ANWATIN ST @ ARNOLD DR,1121,0.0307,98,9,2022/10/18 00:00:00+00,357739.6499,5019568.469,45.314072,-75.82481,63
EQUESTRIAN DR @ HARNESS LANE,1872,0.0298,78,19,2022/10/18 00:00:00+00,354687.6317,5016644.437,45.287984,-75.864027,64
TRAILWAY CIRC @ ELDERWOOD TR N/PINECRONE TR E,2091,0.0361,119,32,2022/10/18 00:00:00+00,350719.5881,5014467.437,45.268665,-75.914811,65
COLONEL BY DR/MACKENZIE AVE @ DALY AVE,17188,0,1699,199,2022/10/19 00:00:00+00,368002.7116,5031904.58,45.42422,-75.692349,66
COLONEL BY DR/SUSSEX DR @ RIDEAU ST,17970,0,6930,362,2022/10/19 00:00:00+00,367921.6967,5032044.584,45.425487,-75.693366,67
MACKENZIE AVE @ RIDEAU ST,23666,0,3204,494,2022/10/19 00:00:00+00,367869.6992,5032009.58,45.425177,-75.694035,68
ABBEYHILL DR @ CARBROOKE ST,6828,0.029,259,27,2022/10/20 00:00:00+00,353634.6183,5017933.461,45.299657,-75.877323,69
OTTAWA RIVER PKWY @ TRANSITWAY -  SCOTT ST,20677,0.0684,4,0,2022/10/20 00:00:00+00,362648.3071,5028268.661,45.391968,-75.761192,70
DORIMA ST @ INNES RD,21119,0.0179,31,6,2022/01/11 00:00:00+00,384312.7619,5036322.561,45.462305,-75.483243,71
FALLOWFIELD RD @ O'KEEFE CRT,12778,0.0501,25,11,2022/10/25 00:00:00+00,360826.6658,5015320.419,45.275608,-75.785921,72
MERIVALE RD @ SLACK RD,22511,0.0461,86,27,2022/10/25 00:00:00+00,366019.7003,5020955.493,45.325879,-75.719044,73
CHESTERTON DR @ SOUTHVIEW CRES W,3735,0.0527,158,10,2022/10/26 00:00:00+00,365342.6947,5023847.512,45.35196,-75.727326,74
HWY 417 PALLADI IC142R36 @ PALLADIUM DR,16148,0.0459,5,2,2022/11/02 00:00:00+00,348774.0571,5017374.317,45.294947,-75.939345,75
ISLAND PARK DR @ SCOTT ST,21411,0.0837,754,615,2022/10/26 00:00:00+00,363833.6895,5029040.554,45.398814,-75.745962,76
